team_id,name,full_name,abbreviation,city,conference,division
1,Hawks,Atlanta Hawks,ATL,Atlanta,East,Southeast
2,Celtics,Boston Celtics,BOS,Boston,East,Atlantic
3,Nets,Brooklyn Nets,BKN,Brooklyn,East,Atlantic
4,Hornets,Charlotte Hornets,CHA,Charlotte,East,Southeast
5,Bulls,Chicago Bulls,CHI,Chicago,East,Central
6,Cavaliers,Cleveland Cavaliers,CLE,Cleveland,East,Central
7,Mavericks,Dallas Mavericks,DAL,Dallas,West,Southwest
8,Nuggets,Denver Nuggets,DEN,Denver,West,Northwest
9,Pistons,Detroit Pistons,DET,Detroit,East,Central
10,Warriors,Golden State Warriors,GSW,Golden State,West,Pacific
11,Rockets,Houston Rockets,HOU,Houston,West,Southwest
12,Pacers,Indiana Pacers,IND,Indiana,East,Central
13,Clippers,LA Clippers,LAC,LA,West,Pacific
14,Lakers,Los Angeles Lakers,LAL,Los Angeles,West,Pacific
15,Grizzlies,Memphis Grizzlies,MEM,Memphis,West,Southwest
16,Heat,Miami Heat,MIA,Miami,East,Southeast
17,Bucks,Milwaukee Bucks,MIL,Milwaukee,East,Central
18,Timberwolves,Minnesota Timberwolves,MIN,Minnesota,West,Northwest
19,Pelicans,New Orleans Pelicans,NOP,New Orleans,West,Southwest
20,Knicks,New York Knicks,NYK,New York,East,Atlantic
21,Thunder,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest
22,Magic,Orlando Magic,ORL,Orlando,East,Southeast
23,76ers,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic
24,Suns,Phoenix Suns,PHX,Phoenix,West,Pacific
25,Trail Blazers,Portland Trail Blazers,POR,Portland,West,Northwest
26,Kings,Sacramento Kings,SAC,Sacramento,West,Pacific
27,Spurs,San Antonio Spurs,SAS,San Antonio,West,Southwest
28,Raptors,Toronto Raptors,TOR,Toronto,East,Atlantic
29,Jazz,Utah Jazz,UTA,Utah,West,Northwest
30,Wizards,Washington Wizards,WAS,Washington,East,Southeast
